region_nombre,provincia_nombre,comuna_nombre,cabildo_id,cabildo_nombre,cabildo_direccion,num_mesa,pregunta_glosa,concepto_nombre,concepto_otro,tipo-eleccion,fundamento,len_chars,len_tokens_raw
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",1,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,Sin fundamento,14,2
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",5,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,"Que el ciudadano pueda participar en la toma de decisiones con igualdad, aceptación y respeto por el otro, considerando todas las realidades.",141,22
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",6,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,P,Las condiciones actuales no constituyen democracia. No obstante debe ser un valor fundamental en la nueva Constitucion,118,17
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",9,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,P,por la estructura establecida en el dialogo anterior,52,8
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",10,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,debemos pasar de una democracia representativa a una participativa,66,9
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",11,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,por eso estamos aqui,20,4
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",14,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,Se garantice una democracia vinculante que se apliquen topes a la acumulación de riquezas,89,14
Arica y Parinacota,Arica,Arica,81,Colegio San Marcos,"Santa María 2140, Arica",15,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,la base y el principio de todos,31,7
Arica y Parinacota,Parinacota,Putre,121,Liceo Granaderos de Putre,"Teniente del Campo 242, Putre",2,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,"Mejorar  en todos los aspectos los sistemas democráticos de participación. No es posible que aún , en algunas instancias de votación, las postulaciones más votadas finalmente no sean las elegidas. Por ende, ahí se pasa por encima de las decisiones populares.",258,41
Tarapacá,Iquique,Alto Hospicio,107,San Antonio de Matilla,"Los Kiwis 3443, Alto Hospicio",2,¿Cuáles son los valores y principios más importantes que deben inspirar y dar sustento a la Constitución?,Democracia,,A,Elemento fundamental en la nueva constitución en Chile,54,8
